"","month","sender","bank","n.terms","Achiev","Adverbs","Affect","Anger","Anx","Article","Assent","AuxVb","Body","Cause","Certain","Conj","Death","Discrep","Excl","Family","Feel","Filler","Friends","Future","Health","Hear","Home","Humans","I","Incl","Ingest","Inhib","Insight","Ipron","Leisure","Money","Motion","Negate","Negemo","Nonflu","Numbers","Past","Percept","Posemo","Prep","Present","Quant","Relig","Sad","See","Sexual","SheHe","Social","Space","Swear","Tentat","They","Time","We","Work","You"
"398",1,"B5167","B",4,8,3,9,8,9,5,4,6,8,7,2,8,0,0,0,7,1,2,5,4,1,7,8,4,0,5,9,1,6,0,8,9,4,1,0,0,0,0,8,0,9,4,0,5,7,1,7,5,4,1,0,8,7,3,9,3,8
"324",1,"L0845","L",39,1,5,7,7,2,3,4,7,5,7,9,8,9,3,8,9,3,3,5,1,5,2,9,0,6,2,2,2,4,1,0,6,2,3,0,7,0,8,7,0,0,2,7,5,9,9,1,0,1,0,0,9,7,1,7,9,0
"167",1,"B5523","B",69,7,6,9,2,0,7,2,2,8,5,0,6,8,8,6,1,5,1,5,4,5,3,7,8,3,9,3,1,1,4,7,5,7,3,2,7,2,0,8,5,7,2,4,6,0,2,6,3,1,5,7,1,6,0,4,1,1
"129",1,"B4406","B",45,2,8,0,7,5,6,5,0,7,6,7,4,3,5,3,1,5,9,1,8,8,5,8,8,4,0,4,3,3,6,6,4,7,1,9,3,3,6,9,2,2,6,8,5,8,1,4,3,7,9,1,3,5,5,3,6,8
"299",1,"L0132","L",31,3,0,7,1,7,5,8,1,4,9,1,9,3,3,4,1,6,5,7,8,8,2,4,5,5,5,8,4,6,8,2,7,9,0,7,9,1,6,3,3,2,4,5,5,6,2,1,2,8,4,2,8,2,5,0,3,4
"270",1,"B8936","B",48,5,9,5,4,1,5,7,7,5,5,1,6,0,7,5,7,5,9,9,5,3,1,6,9,8,7,2,9,0,6,6,7,3,4,8,5,4,0,3,7,0,5,0,2,3,0,8,6,2,7,8,7,4,6,6,6,2
"187",1,"B6195","B",42,3,7,9,6,3,0,3,9,7,0,9,0,5,1,6,8,2,0,6,1,1,9,2,5,8,7,8,6,0,4,1,2,6,1,2,0,3,3,8,8,7,9,7,0,2,9,0,4,8,3,4,9,1,3,5,4,2
"307",1,"L0310","L",78,5,0,1,3,3,5,4,2,0,5,7,1,4,7,9,1,2,1,1,8,0,7,8,1,3,1,4,9,9,5,9,2,6,2,6,8,7,2,7,1,4,1,1,9,1,1,9,9,3,5,3,5,4,1,9,1,3
"85",1,"B2742","B",35,6,6,4,2,3,8,0,5,1,8,0,3,3,8,2,6,7,0,4,5,4,7,8,4,4,4,5,5,8,1,6,6,8,8,7,8,8,9,0,5,0,2,0,5,4,7,7,8,5,8,2,3,1,9,2,0,7
"277",1,"B9157","B",30,9,7,8,2,7,0,6,7,6,8,8,6,7,0,8,8,8,6,8,5,1,3,3,7,4,5,8,1,8,6,5,6,5,1,5,4,5,1,8,2,3,8,1,3,7,3,6,7,2,6,6,2,6,0,1,3,3
