"","month","sender","bank","n.terms","Achiev","Adverbs","Affect","Anger","Anx","Article","Assent","AuxVb","Body","Cause","Certain","Conj","Death","Discrep","Excl","Family","Feel","Filler","Friends","Future","Health","Hear","Home","Humans","I","Incl","Ingest","Inhib","Insight","Ipron","Leisure","Money","Motion","Negate","Negemo","Nonflu","Numbers","Past","Percept","Posemo","Prep","Present","Quant","Relig","Sad","See","Sexual","SheHe","Social","Space","Swear","Tentat","They","Time","We","Work","You"
"398",1,"B5167","B",67,5,5,0,2,7,7,1,0,8,8,4,6,1,5,3,5,7,5,3,4,1,2,8,2,6,7,7,0,0,3,7,2,6,4,0,8,8,3,9,8,6,7,8,8,2,4,5,7,9,2,5,2,6,8,7,5,9
"324",1,"L0845","L",61,0,2,9,5,9,3,3,0,4,7,6,5,6,7,4,4,1,1,7,0,4,8,5,0,7,1,7,6,2,4,1,7,5,5,3,5,7,3,8,7,7,7,0,0,9,0,8,5,7,2,4,6,7,0,4,7,7
"167",1,"B5523","B",89,5,5,7,0,3,5,5,2,2,1,8,1,2,8,2,8,1,2,6,8,1,5,7,0,6,6,2,8,5,8,9,7,7,7,7,4,4,2,2,8,9,2,8,7,5,5,4,5,3,9,2,2,2,7,2,6,1
"129",1,"B4406","B",3,1,0,7,1,5,8,5,8,1,8,9,3,9,5,4,5,8,7,8,7,0,0,6,6,7,6,7,8,9,8,0,9,4,0,7,3,9,5,4,1,2,3,8,6,5,3,8,6,2,6,1,1,0,6,5,4,1
"299",1,"L0132","L",2,9,4,1,7,2,1,7,7,2,5,0,3,9,7,8,7,2,1,7,9,9,9,8,9,8,3,3,3,4,6,1,5,3,8,8,4,4,7,3,9,2,2,3,6,5,8,8,0,2,4,5,3,3,3,2,8,9
"270",1,"B8936","B",96,6,6,4,3,7,6,0,2,7,2,7,1,4,7,2,9,5,5,6,8,8,3,7,9,1,8,5,5,8,6,9,7,5,9,4,5,0,4,3,1,1,4,6,1,5,4,1,3,5,8,9,4,1,6,5,8,0
"187",1,"B6195","B",29,2,9,8,4,8,5,1,3,2,2,8,0,3,5,2,0,8,6,6,2,2,0,2,9,3,9,2,3,5,4,4,1,1,7,6,7,5,8,8,9,8,4,2,8,9,7,1,2,5,5,9,7,3,0,6,5,5
"307",1,"L0310","L",41,9,0,8,4,0,2,5,2,0,1,5,0,1,6,6,2,0,0,8,6,6,8,4,1,0,1,6,8,2,1,5,8,5,8,1,9,4,9,5,1,8,2,0,4,9,8,3,9,1,8,4,3,5,6,1,5,9
"85",1,"B2742","B",77,7,7,0,4,9,5,6,0,7,8,2,5,9,5,2,2,1,7,8,2,3,1,9,6,7,1,1,6,7,6,2,2,7,3,1,8,6,2,3,4,9,0,2,4,3,7,0,6,5,5,6,2,4,8,5,8,7
"277",1,"B9157","B",53,0,5,7,6,5,0,2,0,9,8,5,6,5,5,8,2,5,8,8,1,9,1,8,8,8,3,7,1,6,3,1,4,2,2,9,6,2,7,1,3,1,1,9,8,9,3,9,0,4,1,6,4,3,7,3,0,7
"362",1,"L2187","L",24,0,3,5,5,3,7,7,7,1,1,2,6,9,3,3,5,2,2,1,4,7,3,3,4,4,1,9,2,7,5,8,6,5,5,8,0,4,1,4,8,4,0,5,5,2,0,6,5,8,5,3,7,7,5,1,5,9
"330",1,"L0982","L",65,1,0,9,0,6,9,8,7,8,4,5,2,9,8,7,4,9,9,8,3,3,6,0,6,6,0,8,1,4,8,9,7,3,6,6,0,4,2,4,2,7,7,2,6,0,3,5,1,5,0,5,2,3,2,0,9,4
"263",1,"B8594","B",90,3,0,6,5,6,8,0,6,0,7,6,0,6,5,3,3,2,5,1,5,5,0,4,1,0,0,7,6,7,4,7,7,1,5,1,1,0,3,6,5,8,9,6,5,0,3,4,5,3,2,1,3,4,5,6,5,9
"329",1,"L0935","L",68,4,9,5,9,0,1,7,9,9,4,1,2,2,5,8,0,9,0,5,0,1,4,3,0,9,7,4,0,4,3,8,9,3,4,1,5,5,5,1,6,2,0,8,4,6,2,3,1,9,3,0,2,6,4,8,6,7
"79",1,"B2532","B",42,8,0,5,2,1,7,9,8,3,1,3,4,6,2,3,8,3,8,2,7,9,1,3,3,8,2,8,8,5,6,4,4,3,6,7,0,0,0,0,3,1,9,4,5,7,4,6,9,5,5,5,1,9,0,9,0,4
"213",1,"B6946","B",97,4,2,7,8,3,3,2,7,3,8,9,7,8,2,1,6,7,4,6,8,6,5,8,1,7,5,9,8,6,4,5,9,5,0,0,3,2,7,7,6,8,6,0,1,5,4,6,3,0,2,6,2,2,0,8,1,1
"37",1,"B1306","B",60,0,6,0,0,7,7,9,7,4,0,5,1,7,2,0,8,8,5,5,5,6,1,0,8,0,4,6,6,1,5,3,2,2,3,5,9,9,1,7,6,5,9,6,0,1,6,1,2,5,7,5,2,0,2,2,6,3
"105",1,"B3481","B",41,3,8,7,9,4,3,8,9,4,2,1,0,7,2,1,8,0,2,0,7,9,0,2,6,7,9,8,2,5,8,0,8,3,8,4,7,5,3,6,8,0,7,7,2,1,8,2,6,1,0,0,7,4,0,7,6,2
"217",1,"B7096","B",10,6,3,9,9,8,5,6,6,9,5,8,9,3,8,6,6,8,2,7,0,9,2,3,1,3,4,0,6,3,2,3,2,4,6,9,4,3,7,9,2,6,0,5,8,1,3,1,4,0,6,9,5,9,0,3,0,4
"366",1,"B7179","B",81,7,7,7,8,6,2,1,4,8,1,4,5,3,5,5,9,6,8,8,8,2,6,9,9,7,3,0,5,5,1,4,5,1,7,2,3,9,1,7,4,5,3,5,3,7,1,4,7,7,6,3,9,6,3,5,7,5
"165",1,"B5471","B",10,6,6,9,9,0,8,6,9,4,3,3,1,5,9,9,8,1,5,7,7,2,0,7,3,1,7,1,8,6,4,0,7,5,8,2,6,7,2,8,6,0,9,5,8,0,1,9,2,9,6,9,6,2,4,9,5,4
"290",1,"B9692","B",54,0,1,3,6,4,6,2,2,5,8,1,7,4,3,0,6,9,4,4,5,7,9,6,1,9,4,4,2,0,1,3,3,3,4,6,4,6,9,8,0,8,7,0,0,2,5,9,7,3,9,2,2,7,5,0,9,0
"396",1,"B4387","B",84,6,4,7,5,3,1,1,1,8,8,8,5,7,2,6,9,4,6,1,9,5,3,6,7,0,5,6,0,2,2,1,0,5,7,0,7,8,4,3,5,6,3,4,5,1,7,9,9,3,7,3,4,2,8,5,7,1
"382",1,"B7739","B",25,9,7,1,4,5,3,5,1,2,2,1,6,0,6,0,4,4,0,2,4,2,1,2,8,7,2,8,2,4,2,0,8,0,4,0,3,9,5,8,4,9,6,5,3,0,9,6,5,3,3,3,6,6,9,1,4,6
"89",1,"B2786","B",75,7,9,2,0,6,7,2,5,4,0,5,5,7,2,8,7,8,5,5,9,2,8,3,7,7,5,8,5,3,5,3,4,6,8,3,4,1,7,9,4,5,9,0,2,5,4,3,9,2,4,4,6,2,0,1,5,9
"289",1,"B9624","B",55,4,5,7,0,6,1,1,8,4,1,8,5,1,3,4,3,3,0,5,4,8,3,7,1,2,3,3,7,5,1,0,7,7,6,0,5,7,9,7,0,6,4,5,1,1,1,4,6,6,2,0,5,2,3,0,6,2
"340",1,"L1355","L",51,3,2,1,0,6,3,8,2,5,2,5,6,1,3,3,9,1,6,1,3,6,5,4,5,3,5,9,7,9,9,1,9,2,0,2,5,0,8,7,0,5,2,7,5,4,6,4,5,7,1,5,1,0,2,6,1,3
