"","month","sender","bank","n.terms","Achiev","Adverbs","Affect","Anger","Anx","Article","Assent","AuxVb","Body","Cause","Certain","Conj","Death","Discrep","Excl","Family","Feel","Filler","Friends","Future","Health","Hear","Home","Humans","I","Incl","Ingest","Inhib","Insight","Ipron","Leisure","Money","Motion","Negate","Negemo","Nonflu","Numbers","Past","Percept","Posemo","Prep","Present","Quant","Relig","Sad","See","Sexual","SheHe","Social","Space","Swear","Tentat","They","Time","We","Work","You"
"167",1,"B6628","B",29,5,2,1,6,8,7,2,0,3,4,6,7,0,6,1,3,0,6,3,3,5,1,6,4,3,2,4,5,9,4,8,6,7,4,6,5,0,5,3,4,0,4,8,1,8,8,4,0,1,0,3,0,8,8,0,6,8
"129",1,"B5197","B",2,4,8,5,6,4,1,5,4,1,0,0,3,7,3,2,1,5,3,5,9,6,8,4,6,6,5,9,3,5,7,6,4,9,0,5,0,7,1,1,1,5,3,8,6,5,4,3,3,7,8,8,5,0,1,8,0,2
"187",1,"B7514","B",37,0,6,2,6,4,2,5,9,7,8,6,4,6,0,9,6,3,8,7,3,4,3,7,0,5,9,2,4,7,4,9,2,4,3,5,8,0,8,9,8,1,9,4,5,8,3,7,4,0,6,8,8,6,9,5,7,3
"85",1,"B3447","B",47,6,4,9,5,8,1,1,4,8,6,3,4,3,2,6,0,3,7,2,9,1,1,0,6,8,6,8,4,7,9,0,5,9,2,9,3,1,9,5,5,0,6,3,9,3,8,7,7,1,8,6,6,8,7,7,2,4
"263",1,"B3521","B",1,2,4,8,6,2,7,4,4,5,3,1,7,2,4,0,5,4,4,4,4,9,0,1,0,7,1,2,9,3,0,1,8,7,4,0,2,7,4,8,7,6,4,3,5,5,2,1,6,1,6,3,3,4,1,1,8,1
"79",1,"B3063","B",15,9,9,7,3,3,7,0,8,2,9,0,0,3,1,0,7,2,6,6,9,1,3,8,6,2,8,2,9,4,9,6,3,6,0,3,8,0,4,4,3,7,3,5,1,0,1,8,1,4,7,6,9,9,0,3,0,6
"213",1,"B8341","B",9,4,3,3,6,5,4,8,4,5,6,5,8,7,9,5,8,2,8,7,6,8,2,8,6,6,6,3,6,9,5,4,5,6,6,2,4,2,5,2,1,8,0,8,7,7,7,5,5,7,9,8,5,8,5,1,2,7
"37",1,"B1575","B",24,9,1,5,6,2,6,4,8,8,4,9,5,9,3,0,4,4,9,2,9,1,8,5,7,6,2,2,0,0,3,4,7,4,5,8,7,3,1,5,0,7,6,8,8,6,4,4,3,6,3,3,2,1,8,1,0,1
"105",1,"B4270","B",4,2,9,9,6,6,4,3,1,5,9,8,5,5,0,7,9,7,6,3,9,9,0,0,0,5,1,6,2,2,8,3,9,3,0,6,7,3,2,4,8,9,2,2,4,4,0,6,3,7,8,9,2,9,7,1,8,6
"217",1,"B8565","B",7,1,3,9,5,7,7,3,9,8,0,7,5,5,2,9,7,9,3,5,4,7,8,5,2,0,2,1,7,3,7,4,1,7,8,7,4,4,9,9,7,5,8,1,6,1,0,8,1,2,5,1,4,5,2,2,4,9
"165",1,"B6574","B",24,6,0,3,0,8,1,7,0,1,5,9,9,0,5,1,0,5,3,7,9,2,8,6,0,6,8,5,0,0,4,0,7,5,5,9,4,1,2,8,8,3,0,7,0,7,7,3,3,7,1,3,1,4,0,6,0,7
"89",1,"B3753","B",31,0,7,1,2,5,5,0,1,2,6,9,5,9,8,0,8,9,2,3,5,4,5,2,5,1,1,5,9,8,2,9,9,8,4,0,6,4,8,0,5,0,4,3,2,1,4,8,4,2,7,0,8,3,4,5,9,6
"42",1,"B1751","B",27,2,6,5,8,1,7,1,5,6,0,4,4,1,6,7,8,9,6,7,0,6,7,8,3,9,7,4,3,8,4,7,2,6,0,6,2,6,9,8,0,4,5,2,3,4,0,4,6,9,2,1,7,5,4,4,9,4
"166",1,"B6623","B",20,0,5,8,9,8,2,1,5,5,0,1,5,3,6,9,8,3,8,9,8,6,0,9,6,0,2,6,6,7,2,4,2,7,5,8,1,2,5,7,1,6,1,9,0,6,9,4,0,0,9,2,9,3,5,6,7,4
"111",1,"B4462","B",20,8,1,5,0,0,0,4,7,8,0,1,2,0,6,8,5,8,7,2,9,5,6,8,9,2,1,2,0,1,5,1,6,5,9,5,1,2,3,9,8,8,9,7,6,7,8,4,0,7,4,4,5,6,7,4,8,8
"148",1,"B5910","B",37,1,6,2,0,8,0,5,4,8,6,5,7,3,0,3,5,0,3,9,7,4,6,8,2,2,0,8,9,9,1,3,9,5,4,0,5,4,6,4,6,6,7,9,2,8,1,3,3,9,1,4,7,3,8,8,7,3
"156",1,"B6276","B",16,2,7,4,5,6,4,1,4,9,0,3,1,2,9,6,3,9,6,5,7,9,1,0,3,6,5,1,1,5,0,5,6,1,1,0,0,1,4,7,8,4,6,8,6,3,4,3,5,9,0,1,5,0,1,6,4,6
"20",1,"B0881","B",47,2,8,1,4,4,8,2,2,2,6,6,2,9,4,6,4,6,2,0,5,5,1,6,2,7,0,2,0,0,1,6,6,2,1,7,2,3,5,8,3,2,4,6,4,3,7,6,8,9,0,8,1,7,5,7,3,8
"250",1,"B3309","B",39,2,1,5,5,7,7,7,0,3,0,5,3,1,8,2,5,0,7,8,4,7,9,6,2,0,2,5,2,3,4,7,8,9,7,9,1,4,8,5,3,2,6,3,8,5,8,3,0,4,2,4,6,1,5,1,7,1
"44",1,"B1785","B",16,1,7,6,5,0,4,6,3,5,3,4,9,7,7,8,6,7,7,9,6,6,1,2,4,1,6,9,8,9,0,8,2,6,1,5,0,3,9,0,2,1,5,3,2,8,1,5,3,0,8,0,8,6,7,1,1,9
"121",1,"B4980","B",42,9,2,0,9,7,8,1,4,9,0,6,3,5,8,6,6,2,4,9,4,2,4,2,1,8,7,0,6,4,6,6,0,1,0,2,4,9,9,9,8,8,3,0,7,1,6,3,6,6,1,6,1,1,7,8,3,7
"87",1,"B3532","B",28,1,3,6,4,2,3,1,6,3,3,3,8,2,9,3,3,5,8,5,9,9,7,9,5,3,9,2,1,0,9,0,3,5,1,8,1,4,6,6,1,2,1,7,4,1,5,3,2,9,1,1,0,5,8,9,2,0
"70",1,"B2754","B",1,4,1,0,2,1,6,1,7,8,4,9,0,9,7,6,7,4,3,8,8,9,6,6,3,7,7,1,8,9,6,0,2,2,0,1,7,5,1,3,8,2,2,6,3,5,3,0,9,3,7,1,9,8,9,3,1,4
"249",1,"B3061","B",36,4,7,3,6,2,7,1,2,7,2,6,3,8,6,9,9,7,0,3,5,5,8,9,8,3,0,5,0,6,5,1,5,1,5,1,1,4,8,8,0,4,9,8,9,2,9,7,7,8,6,2,0,9,3,6,7,9
"40",1,"B1654","B",27,7,7,6,7,8,7,2,8,9,2,8,6,1,0,0,0,5,4,4,6,2,0,3,3,1,6,2,3,9,9,9,4,4,1,8,0,7,3,8,2,4,6,3,3,1,3,0,2,3,7,3,1,2,7,6,2,7
