"","month","sender","bank","n.terms","Achiev","Adverbs","Affect","Anger","Anx","Article","Assent","AuxVb","Body","Cause","Certain","Conj","Death","Discrep","Excl","Family","Feel","Filler","Friends","Future","Health","Hear","Home","Humans","I","Incl","Ingest","Inhib","Insight","Ipron","Leisure","Money","Motion","Negate","Negemo","Nonflu","Numbers","Past","Percept","Posemo","Prep","Present","Quant","Relig","Sad","See","Sexual","SheHe","Social","Space","Swear","Tentat","They","Time","We","Work","You"
"398",1,"B5167","B",41,2,6,6,0,0,6,5,3,9,0,3,7,7,1,7,8,6,6,1,6,3,1,8,4,0,6,8,3,6,8,8,9,4,1,7,6,4,8,7,1,4,0,3,1,1,9,9,2,2,1,9,6,4,0,4,5,8
"324",1,"L0845","L",64,3,9,5,3,4,0,9,1,6,1,3,9,2,3,4,8,4,2,5,3,1,8,7,0,0,6,6,6,3,0,8,4,4,6,1,8,9,1,0,4,7,0,0,6,5,7,4,3,8,6,4,2,5,7,0,2,7
"167",1,"B5523","B",65,4,0,6,6,5,7,6,2,5,9,3,7,2,2,1,5,3,8,7,2,7,9,3,6,0,1,8,4,2,4,9,5,6,9,5,7,8,6,0,4,9,4,5,4,3,3,6,5,4,5,7,2,9,8,5,1,1
"129",1,"B4406","B",47,3,4,9,2,5,7,2,2,3,2,1,2,3,6,5,3,4,2,1,7,5,8,0,8,4,8,1,0,9,0,1,5,0,0,2,2,2,4,6,4,0,8,6,0,3,2,7,2,7,4,3,1,3,2,9,7,2
"299",1,"L0132","L",89,8,9,1,3,8,1,3,9,3,0,3,5,4,3,3,1,1,9,2,9,0,3,3,5,7,5,1,1,9,1,9,0,8,4,2,4,6,6,2,3,0,3,6,5,6,6,2,1,6,3,7,5,0,9,0,6,1
"270",1,"B8936","B",96,5,0,8,1,0,9,6,9,6,4,5,9,0,1,1,9,2,8,3,8,3,7,0,8,0,4,4,4,1,9,0,3,8,4,1,6,7,3,3,1,4,9,3,2,7,7,8,0,3,6,5,1,9,0,3,1,8
"187",1,"B6195","B",18,1,6,9,3,8,5,4,2,9,6,3,3,5,5,6,3,2,3,8,1,3,0,5,1,2,0,2,8,2,7,2,0,4,2,8,8,9,2,8,4,2,3,2,3,8,9,4,9,6,6,1,8,1,2,1,2,7
"307",1,"L0310","L",71,9,7,6,3,3,8,9,4,0,4,4,4,4,2,6,7,9,3,0,6,9,4,8,4,2,7,4,7,8,1,2,1,3,7,5,4,9,4,9,4,3,6,3,0,7,0,8,4,8,0,4,5,8,7,7,3,4
"85",1,"B2742","B",85,5,2,9,5,2,5,5,9,6,6,6,7,4,8,4,6,6,1,0,5,8,5,5,2,1,5,1,9,8,1,4,4,6,3,5,3,1,1,7,9,2,9,1,6,2,7,7,9,0,8,9,7,1,1,0,4,7
"277",1,"B9157","B",97,5,1,5,1,9,6,5,4,7,9,4,4,6,3,5,0,3,9,3,2,9,9,9,0,0,2,0,2,0,5,8,3,1,0,0,4,8,7,6,2,2,8,9,6,0,4,0,1,8,8,0,0,2,9,1,7,6
"362",1,"L2187","L",52,7,7,5,9,5,9,7,5,9,3,7,0,8,5,3,5,2,7,0,5,6,8,8,4,3,4,6,8,2,0,7,7,3,3,7,1,7,7,0,4,0,8,7,3,5,6,5,3,0,0,8,6,5,5,0,2,9
"330",1,"L0982","L",69,5,8,4,8,9,7,0,3,4,9,6,8,1,6,0,1,3,1,2,9,9,9,6,5,9,5,6,5,7,5,1,2,5,9,4,2,2,3,6,3,6,0,7,1,8,9,2,2,9,9,0,9,7,1,6,9,4
"263",1,"B8594","B",56,6,2,0,9,3,6,2,8,2,9,9,1,6,7,0,9,7,3,1,9,0,5,6,7,7,2,6,0,4,1,3,5,2,6,3,1,7,8,5,4,0,8,6,2,4,3,9,2,6,6,0,0,0,2,3,8,5
"329",1,"L0935","L",88,5,6,8,9,6,5,1,1,7,4,9,8,9,8,2,6,9,2,7,0,4,6,9,8,2,9,1,5,2,2,9,7,3,1,0,1,9,8,8,9,4,0,0,4,5,5,4,7,0,6,7,6,7,2,8,3,5
"79",1,"B2532","B",60,6,1,9,4,1,2,0,2,9,5,2,4,9,9,8,9,1,2,9,9,5,6,6,6,5,5,1,7,1,8,6,2,8,7,5,0,4,5,5,2,9,7,0,7,2,6,2,1,0,3,5,3,3,9,4,0,8
"213",1,"B6946","B",73,7,9,2,6,3,0,7,9,3,0,3,3,3,1,0,3,8,0,0,8,8,0,1,6,4,8,3,3,3,8,3,3,8,6,9,3,2,8,8,5,5,1,5,1,1,3,3,6,8,2,4,9,0,2,1,2,9
"37",1,"B1306","B",11,0,4,0,5,3,2,2,4,3,8,1,6,5,4,5,1,7,8,4,7,2,3,5,5,3,0,3,1,9,6,7,8,6,6,4,2,0,1,1,2,4,7,4,9,1,7,6,3,3,8,4,4,1,4,3,7,9
"105",1,"B3481","B",9,1,2,3,5,7,3,3,3,4,6,3,0,9,1,5,6,4,6,8,0,3,9,0,3,6,2,0,8,7,6,5,8,3,6,6,4,1,2,3,0,0,2,2,8,9,0,8,2,4,7,9,0,1,7,0,0,2
"217",1,"B7096","B",76,6,7,6,6,2,1,5,5,6,7,6,3,5,0,7,1,8,2,7,0,8,2,4,3,0,8,8,4,6,2,7,0,3,5,2,4,4,7,9,0,8,1,0,4,6,8,9,0,5,8,8,6,0,7,0,6,3
